Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category,full_price,checkin,checkout,checkin_day,checkout_day,checkin_day_name_Friday,checkin_day_name_Monday,checkin_day_name_Saturday,checkin_day_name_Sunday,checkin_day_name_Thursday,checkin_day_name_Tuesday,checkin_day_name_Wednesday,checkin_day_name_nan,checkout_day_name_Friday,checkout_day_name_Monday,checkout_day_name_Saturday,checkout_day_name_Sunday,checkout_day_name_Thursday,checkout_day_name_Tuesday,checkout_day_name_Wednesday,checkout_day_name_nan,period_of_the_month_beginning of the month,period_of_the_month_end of the month,period_of_the_month_middle of the month
,26/06/2024,27/06/2024,Doxie Hotel,1,1,8.770833048042908,-1.671399365582747,2.4632573458761735,-1.5973629890801584,0.0,0,0,0,0,107,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.9537775112780434,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,26/06/2024,28/06/2024,Doxie Hotel,1,2,8.770833048042908,-1.671399365582747,1.1416539110984172,-1.5973629890801584,0.0,0,0,0,0,111,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.3167147065292672,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,26/06/2024,29/06/2024,Doxie Hotel,1,3,8.770833048042908,-1.671399365582747,0.6923087432739801,-1.5973629890801584,0.0,0,0,0,0,106,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.31729995082836654,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,26/06/2024,30/06/2024,Doxie Hotel,1,4,8.770833048042908,-1.671399365582747,0.8244690867517557,-1.5973629890801584,0.0,0,0,0,0,104,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,1.1159145673076938,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,26/06/2024,30/06/2024,31 Street Broadway Hotel,1,4,8.770833048042908,-1.6144360676651663,-3.1667732862770683,-1.5973629890801584,0.0,0,0,0,1,115,2.0,9.445408500330323,NoMad,4.466143194567652,Downtown Manhattan,-0.7251664569423582,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,26/06/2024,01/07/2024,Doxie Hotel,1,5,8.770833048042908,-1.671399365582747,0.3486918502317634,-1.5973629890801584,0.0,0,0,0,0,115,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,1.5944737077170614,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,27/06/2024,28/06/2024,Hotel St. James,2,1,8.68,0.5989045191990552,-0.15351745498378397,0.45383391832955067,9.871244635193133,0,0,0,1,11,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.2555441030011478,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,27/06/2024,28/06/2024,Doxie Hotel,2,1,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,221,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-1.2585922503922904,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,27/06/2024,29/06/2024,Hotel St. James,2,2,8.68,0.5989045191990552,0.480852193709539,0.6915262638233796,10.0,0,0,0,1,37,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.46912207608639067,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,27/06/2024,29/06/2024,Doxie Hotel,2,2,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,187,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.6215294456435142,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,27/06/2024,30/06/2024,Doxie Hotel,2,3,8.770833048042908,-1.671399365582747,0.26939564414509803,-1.5973629890801584,0.0,1,0,0,0,213,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.170988876053528,,,10.866666666666667,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2024-07-13 00:26:00,27/06/2024,01/07/2024,Doxie Hotel,2,4,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,202,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.6525961638540383,2024-07-15 00:26:00,2024-07-19 00:26:00,15.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 01:13:42,27/06/2024,02/07/2024,Doxie Hotel,2,5,8.770833048042908,-1.671399365582747,-0.44427021063489036,-1.5973629890801584,0.0,1,0,0,0,210,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,1.137251599045691,2024-07-15 01:13:42,2024-07-20 01:13:42,15.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 01:55:54,28/06/2024,29/06/2024,Hotel St. James,3,1,8.68,0.5989045191990552,1.115221842402862,0.9292186093172085,10.104529616724738,0,0,0,1,46,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.1092330282263094,2024-07-16 01:55:54,2024-07-17 01:55:54,16.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-07-13 02:02:42,28/06/2024,29/06/2024,Doxie Hotel,3,1,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,217,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-1.2585922503922904,2024-07-16 02:02:42,2024-07-17 02:02:42,16.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-07-13 02:46:18,28/06/2024,30/06/2024,Hotel St. James,3,2,8.68,0.5989045191990552,2.80687423891839,1.4486204013222421,6.9364161849710975,0,0,0,1,146,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.06735186475468402,2024-07-16 02:46:18,2024-07-18 02:46:18,16.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 03:30:00,28/06/2024,01/07/2024,Hotel St. James,3,3,8.68,0.5989045191990552,1.4324066667495234,0.9732357103345842,7.534246575342466,0,0,0,1,79,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.5733443316843341,2024-07-16 03:30:00,2024-07-19 03:30:00,16.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 04:19:24,28/06/2024,02/07/2024,Hotel St. James,3,4,8.68,0.5989045191990552,0.8509011554473107,0.7707570456546559,7.806691449814126,0,0,0,1,80,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,1.1281071568722636,2024-07-16 04:19:24,2024-07-20 04:19:24,16.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 04:25:36,28/06/2024,02/07/2024,Doxie Hotel,3,4,8.770833048042908,-1.671399365582747,-0.4971343480260006,-1.5973629890801584,0.0,1,0,0,0,245,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.5062850890791997,2024-07-16 04:25:36,2024-07-20 04:25:36,16.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 05:07:24,28/06/2024,03/07/2024,Hotel St. James,3,5,8.68,0.5989045191990552,0.5072842624050942,0.656312583009479,8.203125,0,0,0,1,78,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,1.6859181294513355,2024-07-16 05:07:24,2024-07-21 05:07:24,16.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 05:13:18,28/06/2024,03/07/2024,Doxie Hotel,3,5,8.770833048042908,-1.671399365582747,-0.7085908975904416,-1.5973629890801584,0.0,1,0,0,0,233,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.9848442294885674,2024-07-16 05:13:18,2024-07-21 05:13:18,16.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 06:42:36,29/06/2024,01/07/2024,Hotel St. James,4,2,8.68,0.5989045191990552,1.2209501171850825,0.9732357103345842,10.273972602739724,0,0,0,1,72,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.29842582218241237,2024-07-17 06:42:36,2024-07-19 06:42:36,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 06:48:24,29/06/2024,01/07/2024,Doxie Hotel,4,2,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,226,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.6215294456435142,2024-07-17 06:48:24,2024-07-19 06:48:24,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-07-13 07:32:00,29/06/2024,02/07/2024,Hotel St. James,4,3,8.68,0.5989045191990552,0.5072842624050942,0.7091331042303298,10.30534351145038,0,0,0,1,71,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.2532888556143747,2024-07-17 07:32:00,2024-07-20 07:32:00,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
