Snapshot,start_date,end_date,name,TTT,LOS,score,reviews,price_per_night,original_price,discount_perc,Free_cancellation,No_payment,Breakfast,Option Member,Index,star_rating,location_rating,neighborhood,km_from_center,neighborhood_category,full_price
55:18.3,26/06/2024,27/06/2024,Doxie Hotel,1,1,8.770833048042908,-1.671399365582747,2.4632573458761735,-1.5973629890801584,0.0,0,0,0,0,107,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.9537775112780434
55:50.8,26/06/2024,28/06/2024,Doxie Hotel,1,2,8.770833048042908,-1.671399365582747,1.1416539110984172,-1.5973629890801584,0.0,0,0,0,0,111,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.3167147065292672
56:21.7,26/06/2024,29/06/2024,Doxie Hotel,1,3,8.770833048042908,-1.671399365582747,0.6923087432739801,-1.5973629890801584,0.0,0,0,0,0,106,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.31729995082836654
56:56.8,26/06/2024,30/06/2024,Doxie Hotel,1,4,8.770833048042908,-1.671399365582747,0.8244690867517557,-1.5973629890801584,0.0,0,0,0,0,104,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,1.1159145673076938
56:57.0,26/06/2024,30/06/2024,31 Street Broadway Hotel,1,4,8.770833048042908,-1.6144360676651663,-3.1667732862770683,-1.5973629890801584,0.0,0,0,0,1,115,2.0,9.445408500330323,NoMad,4.466143194567652,Downtown Manhattan,-0.7251664569423582
57:28.3,26/06/2024,01/07/2024,Doxie Hotel,1,5,8.770833048042908,-1.671399365582747,0.3486918502317634,-1.5973629890801584,0.0,0,0,0,0,115,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,1.5944737077170614
57:58.5,27/06/2024,28/06/2024,Hotel St. James,2,1,8.68,0.5989045191990552,-0.15351745498378397,0.45383391832955067,9.871244635193133,0,0,0,1,11,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.2555441030011478
58:01.0,27/06/2024,28/06/2024,Doxie Hotel,2,1,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,221,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-1.2585922503922904
58:40.2,27/06/2024,29/06/2024,Hotel St. James,2,2,8.68,0.5989045191990552,0.480852193709539,0.6915262638233796,10.0,0,0,0,1,37,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.46912207608639067
58:47.5,27/06/2024,29/06/2024,Doxie Hotel,2,2,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,187,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.6215294456435142
59:36.8,27/06/2024,30/06/2024,Doxie Hotel,2,3,8.770833048042908,-1.671399365582747,0.26939564414509803,-1.5973629890801584,0.0,1,0,0,0,213,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.170988876053528
00:26.0,27/06/2024,01/07/2024,Doxie Hotel,2,4,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,202,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.6525961638540383
01:13.7,27/06/2024,02/07/2024,Doxie Hotel,2,5,8.770833048042908,-1.671399365582747,-0.44427021063489036,-1.5973629890801584,0.0,1,0,0,0,210,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,1.137251599045691
01:55.9,28/06/2024,29/06/2024,Hotel St. James,3,1,8.68,0.5989045191990552,1.115221842402862,0.9292186093172085,10.104529616724738,0,0,0,1,46,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.1092330282263094
02:02.7,28/06/2024,29/06/2024,Doxie Hotel,3,1,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,217,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-1.2585922503922904
02:46.3,28/06/2024,30/06/2024,Hotel St. James,3,2,8.68,0.5989045191990552,2.80687423891839,1.4486204013222421,6.9364161849710975,0,0,0,1,146,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.06735186475468402
03:30.0,28/06/2024,01/07/2024,Hotel St. James,3,3,8.68,0.5989045191990552,1.4324066667495234,0.9732357103345842,7.534246575342466,0,0,0,1,79,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.5733443316843341
04:19.4,28/06/2024,02/07/2024,Hotel St. James,3,4,8.68,0.5989045191990552,0.8509011554473107,0.7707570456546559,7.806691449814126,0,0,0,1,80,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,1.1281071568722636
04:25.6,28/06/2024,02/07/2024,Doxie Hotel,3,4,8.770833048042908,-1.671399365582747,-0.4971343480260006,-1.5973629890801584,0.0,1,0,0,0,245,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.5062850890791997
05:07.4,28/06/2024,03/07/2024,Hotel St. James,3,5,8.68,0.5989045191990552,0.5072842624050942,0.656312583009479,8.203125,0,0,0,1,78,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,1.6859181294513355
05:13.3,28/06/2024,03/07/2024,Doxie Hotel,3,5,8.770833048042908,-1.671399365582747,-0.7085908975904416,-1.5973629890801584,0.0,1,0,0,0,233,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.9848442294885674
06:42.6,29/06/2024,01/07/2024,Hotel St. James,4,2,8.68,0.5989045191990552,1.2209501171850825,0.9732357103345842,10.273972602739724,0,0,0,1,72,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.29842582218241237
06:48.4,29/06/2024,01/07/2024,Doxie Hotel,4,2,8.770833048042908,-1.671399365582747,-0.17994952367933909,-1.5973629890801584,0.0,1,0,0,0,226,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,-0.6215294456435142
07:32.0,29/06/2024,02/07/2024,Hotel St. James,4,3,8.68,0.5989045191990552,0.5072842624050942,0.7091331042303298,10.30534351145038,0,0,0,1,71,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.2532888556143747
08:21.9,29/06/2024,03/07/2024,Hotel St. James,4,4,8.68,0.5989045191990552,0.1636673693628775,0.5770818011782026,10.121457489878544,0,0,0,1,68,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,0.8110998281934467
08:29.8,29/06/2024,03/07/2024,Doxie Hotel,4,4,8.770833048042908,-1.671399365582747,-0.8407512410682172,-1.5973629890801584,0.0,1,0,0,0,247,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.34778142473979123
09:28.9,29/06/2024,04/07/2024,Doxie Hotel,4,5,8.770833048042908,-1.671399365582747,-0.9729115845459928,-1.5973629890801584,0.0,1,0,0,0,245,2.0,9.445408500330323,Manhattan,1.5234660144120107,Other Manhattan,0.832436859931444
10:10.0,30/06/2024,01/07/2024,Hotel St. James,5,1,8.68,0.5989045191990552,-1.660145370630426,-0.10078155448938353,10.0,0,0,0,1,9,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-1.4292885042962686
11:00.4,30/06/2024,02/07/2024,Hotel St. James,5,2,8.68,0.5989045191990552,-1.4486888210659852,-0.021550772658107224,10.05586592178771,0,0,0,1,23,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.9141515951931913
11:49.7,30/06/2024,03/07/2024,Hotel St. James,5,3,8.68,0.5989045191990552,-1.1579360654148787,0.08409026978359453,9.947643979057592,0,0,0,1,33,2.0,9.7,Manhattan,-0.5784462571277337,Other Manhattan,-0.3228110013115521
