score_expedia,reviews_expedia,star_rating_expedia,location_rating_expedia,km_from_center_expedia,Free_cancellation_expedia,Breakfast_expedia,score_booking,reviews_booking,star_rating_booking,location_rating_booking,km_from_center_booking,Free_cancellation_booking,Breakfast_booking,score_diff,reviews_diff,star_rating_diff,location_rating_diff,km_diff,cancellation_diff,breakfast_diff,Index,index
8.88,604.0,4.0,9.3,7.0,1.0,0.0,8.4,4663.0,4.0,8.9,7.0,1.0,0.0,-0.4800000000000004,4059.0,0.0,-0.40000000000000036,0.0,0.0,0.0,185.0,20.0
8.28,1006.0,4.0,9.4,7.1,1.0,0.0,7.9,8398.0,4.0,9.4,7.1,0.0,0.0,-0.379999999999999,7392.0,0.0,0.0,0.0,-1.0,0.0,133.0,151.0
8.28,1004.0,4.0,9.322012578616352,2.5,1.0,0.0,7.9,1725.0,4.0,9.335996215193298,2.5,1.0,0.0,-0.379999999999999,721.0,0.0,0.004939580286320299,0.0,0.0,0.0,65.0,67.0
9.29,421.0,4.0,9.3,7.3,0.0,0.0,8.8,2723.0,4.0,9.3,7.3,0.0,0.0,-0.48999999999999844,2302.0,0.0,0.0,0.0,0.0,0.0,223.0,140.0
8.48,1325.0,4.0,9.445408500330323,2.4,1.0,0.0,8.3,2353.0,4.0,9.3,2.4,1.0,0.0,-0.17999999999999972,1028.0,0.0,-0.1454085003303227,0.0,0.0,0.0,159.0,142.0
8.88,1003.0,3.0,9.4,2.5,1.0,0.0,8.2,1427.0,3.0,8.7,2.5,1.0,1.0,-0.6800000000000015,424.0,0.0,-0.7000000000000011,0.0,0.0,1.0,129.0,169.0
8.48,1006.0,3.0,9.445408500330323,5.0,1.0,0.0,7.6,899.0,3.0,9.335996215193298,5.0,1.0,0.0,-0.8800000000000008,-107.0,0.0,0.004939580286320299,0.0,0.0,0.0,217.0,119.0
8.88,1003.0,4.0,9.322012578616352,7.3,1.0,0.0,8.2,599.0,4.0,9.335996215193298,7.3,1.0,0.0,-0.6800000000000015,-404.0,0.0,0.004939580286320299,0.0,0.0,0.0,66.0,120.0
8.88,1596.0,3.0,9.322012578616352,7.7,0.0,0.0,8.4,5074.0,3.0,9.335996215193298,7.7,0.0,0.0,-0.4800000000000004,3478.0,0.0,0.004939580286320299,0.0,0.0,0.0,59.0,58.0
8.88,3585.0,3.0,8.7,0.9,1.0,0.0,8.5,6007.0,3.0,8.7,0.9,1.0,0.0,-0.3800000000000008,2422.0,0.0,0.0,0.0,0.0,0.0,65.0,131.0
