Snapshot,Index,Hotel Name,TTT,LOS,Grade,Num of Reviews,Curr Price,Original Price,Percentage of discount,Distance from center,Type of room,Location grade,Is refundable,Late payment,Breakfast included,Option Member
2024-05-26 23:24:34.924826,0,,,,,,,,,,,,,,,
2024-05-26 23:24:34.949821,1,Courtyard New York Manhattan/Times Square West,1,1,9.09.0 out of 10,"1,009 reviews",The price is $135,The price was $159,0,0,0,0,,,,
2024-05-26 23:24:34.966808,2,Hotel 32 32,1,1,8.08.0 out of 10,"1,612 reviews",The price is $125,The price was $167,0,0,0,0,,,,
2024-05-26 23:24:34.981736,3,AC Hotel by Marriott New York Downtown,1,1,9.09.0 out of 10,"1,007 reviews",The price is $129,,0,0,0,0,,,,
2024-05-26 23:24:34.997693,4,"PUBLIC, an Ian Schrager hotel",1,1,8.28.2 out of 10,"2,523 reviews",The price is $249,,0,0,0,0,,,,
2024-05-26 23:24:35.008742,5,Courtyard New York Manhattan/Times Square West,1,1,9.09.0 out of 10,"1,009 reviews",The price is $135,The price was $159,0,0,0,0,,,,
2024-05-26 23:24:35.021678,6,Pod Times Square,1,1,8.88.8 out of 10,"4,220 reviews",The price is $125,The price was $215,0,0,0,0,,,,
2024-05-26 23:24:35.034729,7,The New Yorker A Wyndham Hotel,1,1,8.28.2 out of 10,"4,456 reviews",The price is $125,The price was $139,0,0,0,0,,,,
2024-05-26 23:24:35.047667,8,The Westin New York Grand Central,1,1,8.88.8 out of 10,"2,432 reviews",The price is $169,The price was $345,0,0,0,0,,,,
2024-05-26 23:24:35.059696,9,Courtyard New York Manhattan/ Midtown East,1,1,8.88.8 out of 10,"1,931 reviews",The price is $198,The price was $404,0,0,0,0,,,,
2024-05-26 23:24:35.075619,10,Hilton Garden Inn New York Times Square South,1,1,9.09.0 out of 10,"2,979 reviews",The price is $169,,0,0,0,0,,,,
2024-05-26 23:24:35.087561,11,Courtyard New York Manhattan/ Midtown East,1,1,8.88.8 out of 10,"1,931 reviews",The price is $198,The price was $404,0,0,0,0,,,,
2024-05-26 23:24:35.101547,12,Best Western Premier Empire State Hotel,1,1,9.09.0 out of 10,636 reviews,The price is $125,,0,0,0,0,,,,
2024-05-26 23:24:35.114651,13,Hyatt Grand Central New York,1,1,8.08.0 out of 10,"3,450 reviews",The price is $166,The price was $195,0,0,0,0,,,,
2024-05-26 23:24:35.128503,14,Broadway Plaza Hotel,1,1,9.29.2 out of 10,"1,551 reviews",The price is $116,The price was $129,0,0,0,0,,,,
2024-05-26 23:24:35.142631,15,Radio City Apartments,1,1,8.88.8 out of 10,"3,513 reviews",The price is $109,The price was $122,0,0,0,0,,,,
2024-05-26 23:24:35.157628,16,Doubletree by Hilton New York Times Square South,1,1,8.88.8 out of 10,"3,547 reviews",The price is $169,,0,0,0,0,,,,
2024-05-26 23:24:35.171608,17,"Club Quarters Hotel, Grand Central",1,1,8.68.6 out of 10,"1,928 reviews",The price is $145,,0,0,0,0,,,,
2024-05-26 23:24:35.184460,18,Empire Hotel,1,1,,"3,420 reviews",The price is $122,The price was $135,0,0,0,0,,,,
2024-05-26 23:24:35.197651,19,City Club Hotel,1,1,,"1,340 reviews",The price is $103,The price was $129,0,0,0,0,,,,
2024-05-26 23:24:35.214703,20,Hilton Garden Inn New York/West 35th Street,1,1,9.09.0 out of 10,"1,968 reviews",The price is $179,,0,0,0,0,,,,
2024-05-26 23:24:35.224133,21,Four Points By Sheraton New York Downtown,1,1,8.08.0 out of 10,"1,539 reviews",The price is $119,,0,0,0,0,,,,
2024-05-26 23:24:35.231534,22,Hyatt Place New York City/Times Square,1,1,8.08.0 out of 10,"1,452 reviews",The price is $148,,0,0,0,0,,,,
2024-05-26 23:24:35.244555,23,Moxy NYC Downtown,1,1,8.68.6 out of 10,"1,004 reviews",The price is $118,The price was $139,0,0,0,0,,,,
2024-05-26 23:24:35.260626,24,AC Hotel by Marriott New York Downtown,1,1,9.09.0 out of 10,"1,007 reviews",The price is $129,,0,0,0,0,,,,
2024-05-26 23:24:35.275304,25,DoubleTree by Hilton New York Downtown,1,1,,"1,620 reviews",The price is $125,The price was $139,0,0,0,0,,,,
2024-05-26 23:24:35.294289,26,Hilton Garden Inn New York/Tribeca,1,1,8.48.4 out of 10,"1,006 reviews",The price is $140,,0,0,0,0,,,,
2024-05-26 23:24:35.308245,27,Four Points by Sheraton Manhattan SoHo Village,1,1,8.28.2 out of 10,"1,002 reviews",The price is $109,,0,0,0,0,,,,
2024-05-26 23:24:35.322217,28,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,1,1,8.88.8 out of 10,"1,504 reviews",The price is $116,The price was $129,0,0,0,0,,,,
2024-05-26 23:24:35.337301,29,"Club Quarters, Times Square - Midtown",1,1,8.68.6 out of 10,"2,600 reviews",The price is $161,,0,0,0,0,,,,
2024-05-26 23:24:35.350680,30,Hilton Garden Inn Long Island City New York,1,1,8.68.6 out of 10,"1,006 reviews",The price is $143,The price was $159,0,0,0,0,,,,
2024-05-26 23:24:35.367667,31,"Martinique New York on Broadway, Curio Collection by Hilton",1,1,8.88.8 out of 10,"1,081 reviews",The price is $179,,0,0,0,0,,,,
2024-05-26 23:24:35.386602,32,Hotel Stanford,1,1,8.48.4 out of 10,24 reviews,The price is $198,The price was $209,0,0,0,0,,,,
2024-05-26 23:24:35.401866,33,Courtyard by Marriott New York World Trade Center Area,1,1,8.88.8 out of 10,511 reviews,The price is $129,,0,0,0,0,,,,
2024-05-26 23:24:35.414983,34,Hilton Garden Inn New York/Times Square Central,1,1,8.28.2 out of 10,"1,822 reviews",The price is $130,The price was $149,0,0,0,0,,,,
2024-05-26 23:24:35.429043,35,Artezen Hotel,1,1,9.69.6 out of 10,"1,402 reviews",The price is $125,The price was $139,0,0,0,0,,,,
2024-05-26 23:24:35.443696,36,Sheraton Tribeca New York Hotel,1,1,8.48.4 out of 10,"1,005 reviews",The price is $119,,0,0,0,0,,,,
2024-05-26 23:24:35.454824,37,World Center Hotel,1,1,8.68.6 out of 10,"1,997 reviews",The price is $161,The price was $179,0,0,0,0,,,,
2024-05-26 23:24:35.469894,38,Executive Hotel Le Soleil New York,1,1,9.09.0 out of 10,"2,295 reviews",The price is $152,The price was $169,0,0,0,0,,,,
2024-05-26 23:24:35.482937,39,Home2 Suites By Hilton New York Times Square,1,1,8.48.4 out of 10,562 reviews,The price is $170,The price was $189,0,0,0,0,,,,
2024-05-26 23:24:35.491057,40,DoubleTree by Hilton New York Times Square West,1,1,,"1,436 reviews",The price is $125,The price was $139,0,0,0,0,,,,
2024-05-26 23:24:35.501091,41,Hilton Garden Inn New York/Midtown Park Ave,1,1,8.48.4 out of 10,"1,006 reviews",The price is $140,,0,0,0,0,,,,
2024-05-26 23:24:35.508088,42,Truss Hotel Times Square ,1,1,8.28.2 out of 10,"1,448 reviews",The price is $161,The price was $179,0,0,0,0,,,,
2024-05-26 23:24:35.519178,43,"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",1,1,9.29.2 out of 10,"1,724 reviews",The price is $144,,0,0,0,0,,,,
2024-05-26 23:24:35.526869,44,Hilton Garden Inn New York/Manhattan-Midtown East,1,1,8.08.0 out of 10,"1,237 reviews",The price is $139,,0,0,0,0,,,,
2024-05-26 23:24:35.533386,45,Millennium Hilton New York One UN Plaza,1,1,8.08.0 out of 10,"1,336 reviews",The price is $140,,0,0,0,0,,,,
2024-05-26 23:24:35.541144,46,Paramount Times Square,1,1,,"2,364 reviews",The price is $134,The price was $149,0,0,0,0,,,,
